postalcode;city;provincecode;latitude;longitude
E1E 3Z8;Moncton;NB;46.1020;-64.8261
E1C 9V7;Moncton;NB;46.0831;-64.7842
G1R 4P5;Quebec City;QC;46.8139;-71.2080
G1K 8Z1;Quebec City;QC;46.8123;-71.2143
G1L 1C2;Quebec City;QC;46.8019;-71.2306
G1V 0A6;Quebec City;QC;46.7784;-71.2819
G2B 3Z4;Quebec City;QC;46.8614;-71.2652
N2L 3G1;Kitchener;ON;43.4516;-80.4925
N2G 4M4;Kitchener;ON;43.4643;-80.5204
N2C 1X6;Kitchener;ON;43.4723;-80.5456
N2H 5G5;Kitchener;ON;43.4200;-80.4647
N2M 4K4;Kitchener;ON;43.3992;-80.4128
L3R 0H7;Markham;ON;43.8561;-79.3370
L3P 1X5;Markham;ON;43.8689;-79.2626
L6E 0B2;Markham;ON;43.9206;-79.2630
L3S 0C9;Markham;ON;43.8203;-79.3370
L6C 0P8;Markham;ON;43.8760;-79.2958
L5B 1M3;Mississauga;ON;43.5942;-79.6436
L5G 4S7;Mississauga;ON;43.5890;-79.6441
L5A 3A1;Mississauga;ON;43.6006;-79.6499
L4Z 1W3;Mississauga;ON;43.6532;-79.7111
L5N 7Y3;Mississauga;ON;43.5783;-79.7506
L6H 5R9;Oakville;ON;43.4675;-79.6877
L6K 3W7;Oakville;ON;43.4526;-79.6753
L6J 7W5;Oakville;ON;43.4421;-79.6874
L6L 6M6;Oakville;ON;43.5002;-79.7185
L6M 0H2;Oakville;ON;43.5068;-79.6546
J4H 3X9;Saint-Hubert;QC;45.4946;-73.4154
J4T 2C6;Saint-Hubert;QC;45.5181;-73.4094
J3Y 8Y9;Saint-Hubert;QC;45.5309;-73.4237
J4J 5A7;Saint-Hubert;QC;45.4712;-73.4008
J3V 1G8;Saint-Hubert;QC;45.5050;-73.4481
V3B 7X9;Coquitlam;BC;49.2838;-122.7932
V3E 0G8;Coquitlam;BC;49.2631;-122.8003
V3K 5V5;Coquitlam;BC;49.2793;-122.8592
V3C 6K5;Coquitlam;BC;49.2618;-122.7683
V3J 1N3;Coquitlam;BC;49.2492;-122.8971
V7L 1C3;North Vancouver;BC;49.3163;-123.0747
V7M 3K2;North Vancouver;BC;49.3286;-123.0687
V7P 3S3;North Vancouver;BC;49.3456;-123.0763
V7J 3S1;North Vancouver;BC;49.2959;-123.0188
V7G 1Z6;North Vancouver;BC;49.3220;-123.0262
